feature_id	YEAST-CENPK-LOWGROWTH
MET:FEATURE:positive:158.9124:28.40	936180.946262622
MET:FEATURE:positive:166.0724:26.97	1169991.41482446
MET:FEATURE:positive:178.0592:29.75	207438.221847702
MET:FEATURE:positive:179.0483:26.46	1124696.81742513
MET:FEATURE:positive:211.0877:27.68	1604817.21545023
MET:FEATURE:positive:216.0977:28.40	758765.762548277
MET:FEATURE:positive:239.1027:30.36	228084.742087371
MET:FEATURE:positive:268.1337:25.71	6861591.85063503
MET:FEATURE:positive:270.1088:25.71	11962537.4660198
MET:FEATURE:positive:342.2017:29.75	179342.204671133
MET:FEATURE:positive:117.1025:28.90	642694.02726488
MET:FEATURE:positive:127.1339:28.90	1093671.08016816
MET:FEATURE:positive:190.0708:24.71	3323780.03274144
MET:FEATURE:positive:284.0985:24.49	27396682.4656554
MET:FEATURE:positive:445.0481:28.15	2523500.65727738
MET:FEATURE:positive:148.0795:25.21	13233991.7449232
MET:FEATURE:positive:172.0368:28.65	747438.690120262
MET:FEATURE:positive:173.0572:28.65	660671.6106828
MET:FEATURE:positive:255.0694:26.97	5128165.11739194
MET:FEATURE:positive:255.1250:27.47	4774028.66698504
MET:FEATURE:positive:270.6116:27.22	1940521.42032316
MET:FEATURE:positive:369.2133:26.46	4448032.23878658
MET:FEATURE:positive:126.1440:29.15	1846418.29568273
MET:FEATURE:positive:126.1463:28.90	2789792.238152
MET:FEATURE:positive:151.0807:28.65	874149.626967616
MET:FEATURE:positive:164.1281:28.15	1483643.30327439
MET:FEATURE:positive:171.0843:29.15	1567568.29464313
MET:FEATURE:positive:241.1113:28.40	565012.664390538
MET:FEATURE:positive:242.0346:30.18	367253.404431354
MET:FEATURE:positive:309.0940:25.46	15123122.7924206
MET:FEATURE:positive:125.0397:27.68	2791292.03070808
MET:FEATURE:positive:133.0973:30.79	2249333.60492799
MET:FEATURE:positive:134.1176:27.68	1919138.49777328
MET:FEATURE:positive:163.0793:27.47	13342604.5366785
MET:FEATURE:positive:194.0612:27.47	2705296.6753286
MET:FEATURE:positive:203.1835:28.40	1194527.82107914
MET:FEATURE:positive:215.0679:28.65	1576475.63466137
MET:FEATURE:positive:252.1091:26.46	8305505.62719908
MET:FEATURE:positive:259.1131:22.85	150790333.349419
MET:FEATURE:positive:126.1269:28.65	2518039.7257787
MET:FEATURE:positive:157.0801:29.75	1470885.98633271
MET:FEATURE:positive:159.1127:29.58	502674.979509158
MET:FEATURE:positive:171.0653:30.54	1180261.03491473
MET:FEATURE:positive:183.0848:27.90	2132435.45192046
MET:FEATURE:positive:233.1127:27.47	2554994.46062994
MET:FEATURE:positive:124.0520:24.71	404373.928499088
MET:FEATURE:positive:148.1104:32.29	92523.091275828
MET:FEATURE:positive:211.1186:28.90	1569062.8945002
MET:FEATURE:positive:221.0921:30.18	947921.467541161
MET:FEATURE:positive:228.1424:28.15	1284094.85070787
MET:FEATURE:positive:228.1424:28.40	538573.867211668
MET:FEATURE:positive:246.1446:31.04	526441.161377673
MET:FEATURE:positive:267.0975:28.90	1095314.69988931
MET:FEATURE:positive:273.1192:31.04	137979.6357442
MET:FEATURE:positive:310.1757:28.40	1479722.84966582
MET:FEATURE:positive:133.0319:28.65	755865.813683569
MET:FEATURE:positive:189.1234:26.21	4222671.36791104
MET:FEATURE:positive:242.1580:28.15	4972595.34534531
MET:FEATURE:positive:290.1343:25.21	15543184.8574155
MET:FEATURE:positive:311.0420:32.29	213866.655024152
MET:FEATURE:positive:131.1179:28.65	2303469.61288204
MET:FEATURE:positive:134.0812:29.15	1295627.18962192
MET:FEATURE:positive:159.0416:28.65	1972107.75268188
MET:FEATURE:positive:180.0867:27.47	4232111.2393146
MET:FEATURE:positive:213.0750:31.73	231850.215785909
MET:FEATURE:positive:130.0973:31.73	535097.298796141
MET:FEATURE:positive:149.0710:32.73	370231.250600625
MET:FEATURE:positive:153.0345:27.68	4385624.14614653
MET:FEATURE:positive:154.0262:21.95	28219132.7259389
MET:FEATURE:positive:158.0923:32.48	288613.872513717
MET:FEATURE:positive:161.0920:28.40	4318000.24634068
MET:FEATURE:positive:205.1554:32.90	245828.157693488
MET:FEATURE:positive:220.1177:24.96	4459629.90005128
MET:FEATURE:positive:253.2403:32.73	216949.585420848
MET:FEATURE:positive:256.0822:28.15	6646639.59239512
MET:FEATURE:positive:257.1023:26.97	11008361.5964568
MET:FEATURE:positive:281.1066:30.00	740836.559712231
MET:FEATURE:positive:295.0678:32.29	537060.846693161
MET:FEATURE:positive:298.0966:31.48	333736.605302685
MET:FEATURE:positive:323.1168:27.90	4989080.26187133
MET:FEATURE:positive:349.2306:32.48	758488.945024196
MET:FEATURE:positive:447.1982:32.73	878330.150690358
MET:FEATURE:positive:461.0840:32.48	244069.525996736
MET:FEATURE:positive:121.1225:28.40	34992868.2244354
MET:FEATURE:positive:131.0897:31.90	504449.469862266
MET:FEATURE:positive:133.0608:24.96	11900137.7372673
MET:FEATURE:positive:136.0391:30.18	614865.889856861
MET:FEATURE:positive:154.0498:29.15	4037828.66117014
MET:FEATURE:positive:162.1489:32.73	173885.821708979
MET:FEATURE:positive:165.0546:27.90	1662566.61632523
MET:FEATURE:positive:175.0982:32.48	381053.982507245
MET:FEATURE:positive:175.1032:32.73	660484.663820418
MET:FEATURE:positive:175.1350:32.48	687390.147365439
MET:FEATURE:positive:176.0917:28.65	1035810.49026817
MET:FEATURE:positive:176.1474:32.73	463033.261146151
MET:FEATURE:positive:190.0864:33.47	152460.875198111
MET:FEATURE:positive:190.1632:32.29	1523560.29116843
MET:FEATURE:positive:191.0483:28.15	5990437.52548299
MET:FEATURE:positive:197.1007:32.29	640836.68520963
MET:FEATURE:positive:204.1541:32.48	2999873.71842017
MET:FEATURE:positive:207.1129:33.29	432303.183103399
MET:FEATURE:positive:225.2093:32.48	215487.124169545
MET:FEATURE:positive:244.0929:27.47	7968924.70435852
MET:FEATURE:positive:245.1606:32.48	1125665.50277722
MET:FEATURE:positive:267.2560:32.90	410673.245851475
MET:FEATURE:positive:271.0743:28.65	13510319.1354966
MET:FEATURE:positive:288.1239:32.90	784454.564574537
MET:FEATURE:positive:302.1960:29.15	2809658.21786544
MET:FEATURE:positive:326.2076:33.29	235689.607575273
MET:FEATURE:positive:429.1449:28.90	1182491.06771439
MET:FEATURE:positive:454.2192:32.48	2028530.50596537
MET:FEATURE:positive:116.1521:32.73	567274.115091913
MET:FEATURE:positive:116.1545:33.47	96072.8274416911
MET:FEATURE:positive:117.1405:32.73	278776.98097373
MET:FEATURE:positive:118.1502:32.73	239995.349048022
MET:FEATURE:positive:121.0844:33.29	369861.466450934
MET:FEATURE:positive:132.0915:33.29	739496.992592383
MET:FEATURE:positive:132.1100:33.29	668144.043243358
MET:FEATURE:positive:132.1123:32.90	892598.760082228
MET:FEATURE:positive:134.0448:25.21	22455093.6137772
MET:FEATURE:positive:140.0818:28.90	4566160.98265273
