feature_id	protein_accession	gene_id	gene_name	protein_name	best_protein_q	display_label	annotation_source	ECOLI-B36-RPMI
PROT:WP_001240408.1	WP_001240408.1	EW036_RS15850	mlrA	HTH-type transcriptional regulator MlrA	0.0004998375	mlrA — HTH-type transcriptional regulator MlrA	search FASTA description + reference GFF	27.097672375035422
PROT:WP_001240896.1	WP_001240896.1	EW036_RS20535	bamA	outer membrane protein assembly factor BamA	0.0004998375	bamA — outer membrane protein assembly factor BamA	search FASTA description + reference GFF	32.42418483497182
PROT:WP_001241357.1	WP_001241357.1	EW036_RS06955	iscR	Fe-S cluster assembly transcriptional regulator IscR	0.0004998375	iscR — Fe-S cluster assembly transcriptional regulator IscR	search FASTA description + reference GFF	25.417201374643465
PROT:WP_001243437.1	WP_001243437.1	EW036_RS00080	ibpA	small heat shock chaperone IbpA	0.0004998375	ibpA — small heat shock chaperone IbpA	search FASTA description + reference GFF	26.241713550558856
PROT:WP_001245296.1	WP_001245296.1	EW036_RS01665	dcrB	phage sensitivity protein DcrB	0.0004998375	dcrB — phage sensitivity protein DcrB	search FASTA description + reference GFF	32.15354331766868
PROT:WP_001245699.1	WP_001245699.1	EW036_RS14185	amyA	alpha-amylase	0.0004998375	amyA — alpha-amylase	search FASTA description + reference GFF	29.317763943768306
PROT:WP_001247093.1	WP_001247093.1	EW036_RS00730	rph	ribonuclease PH	0.0004998375	rph — ribonuclease PH	search FASTA description + reference GFF	29.666848954636556
PROT:WP_001249136.1	WP_001249136.1	EW036_RS16295	rcsD	phosphotransferase RcsD	0.0004998375	rcsD — phosphotransferase RcsD	search FASTA description + reference GFF	25.79468021257128
PROT:WP_001249883.1	WP_001249883.1	EW036_RS08225	nudI	nucleoside triphosphatase NudI	0.0004998375	nudI — nucleoside triphosphatase NudI	search FASTA description + reference GFF	21.77914040220214
PROT:WP_001250114.1	WP_001250114.1	EW036_RS19020	hemH	ferrochelatase	0.0004998375	hemH — ferrochelatase	search FASTA description + reference GFF	29.74022096168427
