feature_id	sample_id	mz	rt_apex_minutes	rt_start_minutes	rt_end_minutes	peak_area	peak_height	scan_count	mass_span_ppm	first_scan_id	last_scan_id	polarity	collision_energy_ev
MET:FEATURE:negative:118.05091:17.669:001463	ECOLI-B36-RPMI	118.05091453709674	17.6693	16.5417	17.9085	7612.860265214165	19942.31640625	38	13.479667676782983	992510	1074518	negative	0.0
MET:FEATURE:negative:118.05104:24.025:001464	ECOLI-B36-RPMI	118.05104168907872	24.0249	23.75155	24.127416666666665	318.10996550292685	1156.5185546875	7	11.698801502414684	1425101	1447653	negative	0.0
MET:FEATURE:negative:118.05147:12.305:001465	ECOLI-B36-RPMI	118.05146711256816	12.30465	12.031233333333333	12.30465	207.3644513758351	1478.0565185546875	4	4.473809878825591	721882	738286	negative	0.0
MET:FEATURE:negative:118.05183:20.881:001466	ECOLI-B36-RPMI	118.05183456273451	20.881283333333332	20.710433333333334	20.881283333333332	117.66634070536097	1071.6072998046875	4	4.012004481754827	1242633	1252884	negative	0.0
MET:FEATURE:negative:118.07522:12.578:001467	ECOLI-B36-RPMI	118.07522021422011	12.578016666666667	12.4755	12.7147	370.2139627192183	2100.92724609375	4	5.721884584655008	748538	762890	negative	0.0
MET:FEATURE:negative:118.07604:14.355:001468	ECOLI-B36-RPMI	118.07604003654043	14.35485	14.081483333333333	14.662366666666667	1709.395405407719	7152.8291015625	12	7.7547227519093065	844896	879750	negative	0.0
MET:FEATURE:negative:118.07636:12.783:001469	ECOLI-B36-RPMI	118.0763577321231	12.783033333333334	12.509683333333333	12.851366666666667	435.291359539795	1817.0032958984375	8	10.839427251696474	750588	771089	negative	0.0
MET:FEATURE:negative:118.07707:14.321:001470	ECOLI-B36-RPMI	118.07707054894696	14.320666666666666	14.320666666666666	14.491516666666667	712.0671345214902	5268.0478515625	4	6.703387881080534	859247	869499	negative	0.0
MET:FEATURE:negative:118.89931:15.927:001471	ECOLI-B36-RPMI	118.89931281743583	15.92665	15.858316666666667	16.16583333333333	353.1729438791889	1430.1815185546875	5	10.704538494062653	951507	969958	negative	0.0
MET:FEATURE:negative:118.91791:31.702:001472	ECOLI-B36-RPMI	118.91791167241084	31.701833333333333	31.667666666666666	32.11188333333333	457.0452668711335	1205.1488037109375	10	13.970906647239659	1900068	1926721	negative	0.0
MET:FEATURE:negative:118.91822:32.351:001473	ECOLI-B36-RPMI	118.91821655580921	32.35106666666667	32.35106666666667	32.48775	125.8656218495656	1217.735595703125	3	5.753095086857743	1941071	1949273	negative	0.0
MET:FEATURE:negative:118.91825:19.036:001474	ECOLI-B36-RPMI	118.9182476635412	19.0361	19.0361	19.241116666666667	123.05224615020681	666.766845703125	4	14.41929548248095	1142174	1154475	negative	0.0
MET:FEATURE:negative:118.91862:32.624:001475	ECOLI-B36-RPMI	118.91862128234293	32.62441666666667	32.62441666666667	32.726933333333335	96.85775944010334	1244.032958984375	3	8.468454838775566	1957472	1963623	negative	0.0
MET:FEATURE:negative:118.92708:25.665:001476	ECOLI-B36-RPMI	118.92707591652172	25.66508333333333	25.562566666666665	25.66508333333333	133.02400269063233	1879.26171875	3	4.667036810857407	1533762	1539913	negative	0.0
MET:FEATURE:negative:118.92754:25.187:001477	ECOLI-B36-RPMI	118.92753771850984	25.1867	25.1867	25.391716666666667	262.12786598307594	2112.31884765625	5	12.30819991443769	1511210	1523511	negative	0.0
MET:FEATURE:negative:118.92793:24.811:001478	ECOLI-B36-RPMI	118.92793358594842	24.810833333333335	24.19575	25.050016666666668	2680.5569439575165	5282.78955078125	19	17.62274928134387	1451752	1503008	negative	0.0
MET:FEATURE:negative:118.92804:26.143:001479	ECOLI-B36-RPMI	118.92804257597274	26.14345	26.14345	26.38265	204.56265235493942	1168.9100341796875	6	10.280910746788352	1568615	1582966	negative	0.0
MET:FEATURE:negative:118.92898:25.528:001480	ECOLI-B36-RPMI	118.92897704297526	25.5284	25.425883333333335	25.5284	95.90087871551498	1161.625732421875	4	10.214334316631549	1525560	1531711	negative	0.0
MET:FEATURE:negative:118.92915:24.469:001481	ECOLI-B36-RPMI	118.9291521668817	24.469133333333332	24.33245	24.639983333333333	859.8387206888794	4183.37939453125	6	11.02529400151362	1459955	1478407	negative	0.0
MET:FEATURE:negative:118.93015:25.904:001482	ECOLI-B36-RPMI	118.93014771564314	25.90426666666667	25.90426666666667	26.04095	132.15028097076097	1280.8702392578125	3	3.3948411679380954	1554263	1562465	negative	0.0
