modality	platform	comparison_key	B36_logFC	MS14384_logFC	B36_FDR	MS14384_FDR	gene_name	annotation_description	MS14384_minus_B36_logFC	B36_significant_FDR_lt_0_05	MS14384_significant_FDR_lt_0_05	comparison_definition	source_layer
RNAseq	publisher_transcriptomics	g004797	-3.41931203619517	-2.79299708197618	2.28655700014235e-10	7.4296703308512e-11	proP	glycine betaine/L-proline transporter ProP	0.6263149542189903	True	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004800		0.509261360938072		0.223531226275171	EW037_RS13180	aldehyde dehydrogenase family protein		False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004801	-0.358775469665144	-0.0094325094713431	0.509185886546508	0.991909815672617	ravA	ATPase RavA	0.3493429601938009	False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004802	1.51168959883372	0.28550738784131	0.00166331230516518	0.755092674434569	ansP	L-asparagine permease	-1.2261822109924099	True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004806	-0.544813677924212	-0.296987230796424	0.230557532033014	0.523987860218303	ubiD	4-hydroxy-3-polyprenylbenzoate decarboxylase	0.247826447127788	False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004807_1	1.6631989917881	2.30356540031304	0.000562363723238065	1.66627012266239e-08	nanT	sialic acid transporter NanT	0.6403664085249399	True	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004807_2	2.48947578893126		2.61495260094474e-05		EW036_RS04535	MFS transporter		True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004808	1.11790309569934	1.72111805045306	0.0940995977948136	0.000236660446399536	ygjG	putrescine aminotransferase	0.60321495475372	False	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004809	-1.33866255438741	-0.844215822526389	0.0128491521091465	0.146619181307065	nusA	transcription termination/antitermination protein NusA	0.49444673186102095	True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004810	1.230410766987	1.10052853935149	0.00044725124088698	0.00635120875708593	EW036_RS03520	altronate dehydratase	-0.12988222763550983	True	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004811		0.781620149568227		0.0426413611143167	sufB	Fe-S cluster assembly protein SufB		False	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004813	0.0772703353887178	0.243814965526967	0.889071473089396	0.660727628937594	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase	0.1665446301382492	False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004817		0.649009132451513		0.1154946906366	EW037_RS18605	sugar ABC transporter ATP-binding protein		False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004818		-0.985078426102714		0.00815522222630538	tssC	type VI secretion system contractile sheath large subunit		False	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004819	-1.02265361529408	-0.432518072749369	0.0124108133437021	0.328650835498802	der	ribosome biogenesis GTPase Der	0.590135542544711	True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004820	-1.34071471922062	-0.873856022110621	0.000402668909409429	0.00533212532532394	zwf	glucose-6-phosphate dehydrogenase	0.46685869710999894	True	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
