gene_id	gene_symbol	description	BC187	YJM981	CENPK1137D_TPM	BC187_within_dataset_percentile	YJM981_within_dataset_percentile	CENPK1137D_TPM_within_dataset_percentile	comparison_scope	source_layer
YHR143W-A	RPC10	DNA-directed RNA polymerase core subunit RPC10	423.170091	262.151944	250.18876949957345	0.9321876451463075	0.8959591267998143	0.8739228175346572	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR144C	DCD1	deoxycytidine monophosphate deaminase	44.373041	41.975842	12.395850165301718	0.461526552097848	0.45432729524694226	0.06968902210565756	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR146W	CRP1	Crp1p	199.505731	148.01889	330.9321509550237	0.8615884811890385	0.8230376219228983	0.9037092544023979	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR147C	MRPL6	mitochondrial 54S ribosomal protein uL6m MRPL6	166.111436	101.848361	130.8882299381979	0.8321721628735098	0.7453940238427001	0.7628325215436493	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR148W	IMP3	snoRNA-binding rRNA-processing protein IMP3	78.563315	142.809115	39.378252407648816	0.6614026939154668	0.8172317696237807	0.3812289246908955	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR149C	SKG6	Skg6p	32.007975	38.730091	24.39746360394002	0.3420034061000155	0.42498838829540175	0.2098164106406894	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR150W	PEX28	Pex28p	35.674863	32.091014	55.61137848359394	0.383960365381638	0.3615884811890385	0.5116148370176096	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR151C	MTC6	Mtc6p	19.900251	24.930624	22.88503884796358	0.22882799194921816	0.29385353769933426	0.18771075309104535	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR152W	SPO12	Spo12p	57.014621	69.215912	109.61083295317066	0.5578262888992104	0.6301285028642205	0.7169351817159985	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR153C	SPO16	Spo16p	28.486846	11.003717	8.691429482615439	0.30562006502554573	0.18640656448366622	0.03840389659048333	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
