reported_result_id	study_accession	source_sample_id	showcase_sample_id	metabolite_name	reported_abundance	source_identification_label	database_identifier	chemical_formula	smiles	inchi	pubchem_id	kegg_id	hmdb_id	method	is_internal_standard	result_layer	mapping_to_reprocessed_feature	annotation_source
MTBLS697:ROW:0049	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-stearoyl-GPC (18:0)	22508556.0	1-stearoyl-GPC (18:0)					497299		HMDB10384	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0050	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-stearoyl-GPE (18:0)	413669.0	1-stearoyl-GPE (18:0)					9547068		HMDB11130	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0051	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-stearoyl-GPI (18:0)	7121496.0	1-stearoyl-GPI (18:0)							HMDB61696	Method 3	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0052	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	2,3-dihydroxy-2-methylbutyrate	117395936.0	2,3-dihydroxy-2-methylbutyrate					301941		HMDB29576	Method 4	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0053	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	2,3-dihydroxyisovalerate	39957528.0	2,3-dihydroxyisovalerate	CHEBI:15689	C5H10O4	CC(C)(O)C(O)C(O)=O	InChI=1S/C5H10O4/c1-5(2,9)3(6)4(7)8/h3,6,9H,1-2H3,(H,7,8)	677	C04039	HMDB12141	Method 4	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0054	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	2-aminoadipate	284038.0	2-aminoadipate	CHEBI:37024	C6H11NO4	NC(CCCC(O)=O)C(O)=O	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)	469	C00956	HMDB00510	Method 4	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0055	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	adenosine 2'-monophosphate (2'-AMP)	314640.0	adenosine 2'-monophosphate (2'-AMP)					94136	C00946	HMDB11617	Method 3	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0056	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	2'-deoxyadenosine	56655016.0	2'-deoxyadenosine	CHEBI:17256	C10H13N5O3	Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](CO)O1	InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)/t5-,6+,7+/m0/s1	13730	C00559	HMDB00101	Method 1	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0057	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	2'-deoxyadenosine 5'-monophosphate	1269998.0	2'-deoxyadenosine 5'-monophosphate	CHEBI:17713	C10H14N5O6P	Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	InChI=1S/C10H14N5O6P/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(21-7)2-20-22(17,18)19/h3-7,16H,1-2H2,(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1	12599	C00360	HMDB00905	Method 3	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0058	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	2'-deoxycytidine	1020604.0	2'-deoxycytidine	CHEBI:15698	C9H13N3O4	Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1	InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1	13711	C00881	HMDB00014	Method 1	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
