feature_id	protein_accession	gene_id	gene_name	protein_name	best_protein_q	display_label	annotation_source	YEAST-CENPK-LOWGROWTH
PROT:sp|P32523|PRP19_YEAST	sp|P32523|PRP19_YEAST		PRP19	Pre-mRNA-processing factor 19	0.00035489036	PRP19 — Pre-mRNA-processing factor 19	search FASTA description + reference GFF	29.834090629090174
PROT:sp|P32527|ZUO1_YEAST	sp|P32527|ZUO1_YEAST		ZUO1	Zuotin	0.00035489036	ZUO1 — Zuotin	search FASTA description + reference GFF	34.59154424883309
PROT:sp|P32528|DUR1_YEAST	sp|P32528|DUR1_YEAST		DUR1,2	Urea amidolyase	0.00035489036	DUR1,2 — Urea amidolyase	search FASTA description + reference GFF	22.27897206902444
PROT:sp|P32529|RPA12_YEAST	sp|P32529|RPA12_YEAST		RPA12	DNA-directed RNA polymerase I subunit RPA12	0.00035489036	RPA12 — DNA-directed RNA polymerase I subunit RPA12	search FASTA description + reference GFF	29.80578079984891
PROT:sp|P32558|SPT16_YEAST	sp|P32558|SPT16_YEAST		SPT16	FACT complex subunit SPT16	0.00035489036	SPT16 — FACT complex subunit SPT16	search FASTA description + reference GFF	32.60702721520575
PROT:sp|P32561|RPD3_YEAST	sp|P32561|RPD3_YEAST		RPD3	Histone deacetylase RPD3	0.00035489036	RPD3 — Histone deacetylase RPD3	search FASTA description + reference GFF	27.248846891352272
PROT:sp|P32563|VPP1_YEAST	sp|P32563|VPP1_YEAST		VPH1	V-type proton ATPase subunit a, vacuolar isoform	0.00035489036	VPH1 — V-type proton ATPase subunit a, vacuolar isoform	search FASTA description + reference GFF	31.24844387263681
PROT:sp|P32564|SCM4_YEAST	sp|P32564|SCM4_YEAST		SCM4	Protein SCM4	0.00036660978	SCM4 — Protein SCM4	search FASTA description + reference GFF	27.454457618378253
PROT:sp|P32565|RPN2_YEAST	sp|P32565|RPN2_YEAST		RPN2	26S proteasome regulatory subunit RPN2	0.00035489036	RPN2 — 26S proteasome regulatory subunit RPN2	search FASTA description + reference GFF	33.38601826311055
PROT:sp|P32566|SMI1_YEAST	sp|P32566|SMI1_YEAST		SMI1	Cell wall assembly regulator SMI1	0.00035489036	SMI1 — Cell wall assembly regulator SMI1	search FASTA description + reference GFF	30.73269442581155
PROT:sp|P32568|SNQ2_YEAST	sp|P32568|SNQ2_YEAST		SNQ2	Protein SNQ2	0.00035489036	SNQ2 — Protein SNQ2	search FASTA description + reference GFF	25.53913107645957
PROT:sp|P32570|MED22_YEAST	sp|P32570|MED22_YEAST		SRB6	Mediator of RNA polymerase II transcription subunit 22	0.00035489036	SRB6 — Mediator of RNA polymerase II transcription subunit 22	search FASTA description + reference GFF	27.547167746433168
PROT:sp|P32573|SPS19_YEAST	sp|P32573|SPS19_YEAST		SPS19	Peroxisomal 2,4-dienoyl-CoA reductase SPS19	0.00035489036	SPS19 — Peroxisomal 2,4-dienoyl-CoA reductase SPS19	search FASTA description + reference GFF	32.27231457773999
PROT:sp|P32579|SUA5_YEAST	sp|P32579|SUA5_YEAST		SUA5	Threonylcarbamoyl-AMP synthase	0.00035489036	SUA5 — Threonylcarbamoyl-AMP synthase	search FASTA description + reference GFF	26.943778107543867
PROT:sp|P32580|SUV3_YEAST	sp|P32580|SUV3_YEAST		SUV3	ATP-dependent RNA helicase SUV3, mitochondrial	0.00035489036	SUV3 — ATP-dependent RNA helicase SUV3, mitochondrial	search FASTA description + reference GFF	24.98434722399289
PROT:sp|P32582|CBS_YEAST	sp|P32582|CBS_YEAST		CYS4	Cystathionine beta-synthase	0.00035489036	CYS4 — Cystathionine beta-synthase	search FASTA description + reference GFF	35.39910413394688
PROT:sp|P32583|SRP40_YEAST	sp|P32583|SRP40_YEAST		SRP40	Suppressor protein SRP40	0.00035489036	SRP40 — Suppressor protein SRP40	search FASTA description + reference GFF	29.295160605720557
