reaction_id	pfba_flux	model_id	upstream_baseline	analysis_method
EX_glu__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
UDCPDPS	4.5198886349462647e-05	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ECOAH6	0.22850584623248782	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
USHD	0.015988900596639825	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_gua_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ENO	15.67630999239313	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
FBA	6.012950967181036	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
HCO3E	0.4319567170645213	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
MGSA	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
IMPC	-0.4458516765262807	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
IMPD	0.1998842678001394	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PPS	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ECOAH4	0.29246144861904716	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
LPADSS	0.015988900596639825	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GLUTRS	0.002932175027179835	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
TDSK	0.015988900596639825	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PGI	7.194088431652044	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
TMPPP	0.00018326093919873978	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_btn_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PGK	-17.08802283480559	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_ptrc_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EDA	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_spmd_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_thym_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_xtsn_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NTPP1	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
URIK1	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
URIK2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NTPP2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PGL	2.8059115683479563	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NTPTP1	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NTPTP2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
CYTDK1	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
RPE	1.2331749402942722	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
